count: 139
data: 4000 2624e0 stack: 2a0620 2aa630 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
3dfc4 3dfe0	_Chain_Tail	0	10	3	2 
3dfe0 3e01c	_Chain_Is_tail	0	10	5	4 
3e01c 3e0c4	_User_extensions_Thread_start	8	2	16	11 
3e0c4 3e0e0	_Chain_Tail	6	6	4	2 
3e0e0 3e11c	_Chain_Is_tail	6	6	6	4 
3e11c 3e1a8	_User_extensions_Thread_switch	6	2	18	12 
3e918 3e934	_Chain_Tail	25	27	5	4 
3e934 3e970	_Chain_Is_empty	25	27	8	7 
3e98c 3eb3c	_Watchdog_Tickle	48	24	10	9 
3ec54 3ec88	_Workspace_Free	0	8	15	8 
3ee34 3eed0	_CPU_Context_switch	2	2	4	2 
3efc0 3f04c	_CPU_Context_Initialize	4	2	7	2 
3f8a0 3f8bc	rtems_filesystem_default_freenode	0	1	3	2 
40080 4018c	IMFS_Set_handlers	3	1	12	5 
4018c 402b4	IMFS_evaluate_permission	4	2	16	10 
40d3c 41454	IMFS_eval_path	3	1	31	26 
416d4 416f0	_Chain_Tail	0	3	5	4 
416f0 4172c	_Chain_Is_tail	0	2	5	4 
4172c 4175c	rtems_chain_is_tail	0	2	5	4 
4175c 418ec	IMFS_find_match_in_dir	2	1	16	13 
418ec 41ae0	IMFS_get_token	0	2	16	12 
41b6c 41c4c	IMFS_check_node_remove	0	1	9	7 
41cd0 41d04	rtems_filesystem_make_dev_t	0	2	5	4 
41d04 41ecc	IMFS_stat	5	1	17	7 
42014 42154	close	2	1	20	16 
42154 4218c	_close_r	0	1	8	6 
42354 42380	getegid	0	2	4	4 
42380 423ac	geteuid	0	2	4	4 
423ac 423e0	rtems_libio_lock	0	5	9	9 
423e0 4240c	rtems_libio_unlock	0	3	18	13 
4240c 424a0	rtems_libio_fcntl_flags	0	1	7	6 
42594 426d4	rtems_libio_allocate	2	2	19	15 
426d4 42760	rtems_libio_free	2	1	14	10 
42828 428f0	rtems_libio_is_file_open	4	1	16	10 
42f20 430e4	read	182	91	19	15 
430e4 43128	_read_r	0	91	8	6 
43294 43458	write	16	10	22	18 
437c0 43934	_POSIX_signals_Post_switch_extension	38	19	25	9 
44118 441d4	_POSIX_Threads_Delete_extension	6	2	20	12 
44590 445b8	_RTEMS_tasks_Start_extension	4	2	7	2 
445b8 44634	_RTEMS_tasks_Delete_extension	4	2	11	5 
44634 446f0	_RTEMS_tasks_Switch_extension	8	2	9	4 
446f0 44814	_RTEMS_tasks_Post_switch_extension	38	19	24	8 
44b94 44c5c	_TOD_Get_uptime	8	2	14	10 
44c5c 44c74	_Heap_Free_list_head	0	1	3	2 
44c74 44c8c	_Heap_Free_list_tail	0	1	3	2 
44c8c 44cb4	_Heap_Free_list_first	0	1	6	5 
44cb4 44cf4	_Heap_Is_aligned	0	3	5	4 
44d2c 44d48	_Heap_Alloc_area_of_block	0	2	5	3 
44d78 44d98	_Heap_Block_size	1	1	4	2 
44d98 44dc8	_Heap_Is_prev_used	1	1	4	2 
44dc8 44df4	_Heap_Protection_block_check	0	1	6	5 
44df4 44eec	_Heap_Protection_free_delayed_blocks	0	1	5	4 
44eec 452c0	_Heap_Check_allocation	0	1	22	21 
454ec 45788	_Heap_Allocate_aligned_with_boundary	1	1	29	27 
45788 457a0	_Heap_Free_list_head	0	2	4	2 
4583c 4588c	_Heap_Free_list_insert_after	2	2	8	3 
4588c 458c4	_Heap_Align_down	0	9	8	2 
458c4 458e8	_Heap_Block_at	0	10	8	3 
458e8 45904	_Heap_Alloc_area_of_block	0	9	9	4 
45904 45934	_Heap_Block_of_alloc_area	0	9	10	4 
45934 45954	_Heap_Block_size	16	16	25	4 
45954 45984	_Heap_Is_prev_used	12	12	21	4 
45984 459e0	_Heap_Is_block_in_heap	0	17	11	5 
459e0 45a0c	_Heap_Protection_block_check	0	17	13	7 
45a38 45b48	_Heap_Protection_delay_block_free	17	6	25	9 
45bf8 45ca8	_Heap_Protection_determine_block_free	6	8	17	6 
45ca8 461e0	_Heap_Free	6	9	50	38 
461e0 4624c	_Objects_API_maximum_class	6	10	12	6 
4624c 4635c	_Thread_Load_environment	6	2	12	5 
46374 46390	_Chain_Tail	0	4	6	4 
46390 463cc	_Chain_Is_empty	2	2	8	4 
4648c 465b8	_Thread_queue_Dequeue_fifo	0	2	10	8 
46bf0 46c0c	_Chain_Tail	0	2	3	2 
46c0c 46c68	_Chain_Append_unprotected	6	2	10	4 
46c68 46c88	_Priority_Bits_index	0	4	4	3 
46c88 46cec	_Priority_bit_map_Add	2	2	7	4 
46cec 46e2c	_Priority_bit_map_Get_highest	0	2	12	12 
46e2c 46e64	_Thread_Is_executing	0	2	4	3 
46e64 46eb8	_Thread_Calculate_heir	2	2	7	6 
46eb8 46fb8	_Thread_Ready	4	2	20	15 
470ec 4721c	memfile_open	3	1	8	4 
4721c 47278	memfile_close	1	1	10	7 
47278 472d0	memfile_read	182	91	10	6 
47d38 4825c	IMFS_memfile_read	273	181	31	24 
48708 48e14	IMFS_memfile_get_block_pointer	476	270	19	15 
49240 49310	device_write	16	10	14	10 
49b20 49bb4	rtems_assoc_local_by_remote_bitfield	0	1	4	3 
49bb4 49c10	rtems_assoc_local_by_remote	0	1	7	6 
49c6c 49d44	rtems_assoc_ptr_by_remote	0	1	10	9 
49d44 49d60	_Chain_Tail	0	4	6	4 
49d60 49d9c	_Chain_Is_empty	2	2	8	4 
49ddc 49eb0	_POSIX_Threads_cancel_run	4	2	11	5 
49eb0 49ed8	_Objects_Get_API	0	2	4	2 
49ed8 49efc	_Objects_Get_index	0	2	4	2 
49efc 4a0a8	_POSIX_Keys_Run_destructors	2	2	12	8 
4b184 4b24c	rtems_io_write	0	13	15	13 
4b2b8 4b30c	_Thread_Enable_dispatch	0	2	5	5 
4b30c 4b4cc	_Thread_Handler	0	2	24	16 
4bb00 4bb20	fclose	2	1	8	6 
4c094 4c0d0	fileno	6	3	9	5 
4c310 4c3f8	__sfp	4	1	16	12 
4c4b4 4c4f4	fiprintf	10	2	85	71 
4c4f4 4c604	_fopen_r	2	1	14	11 
4c604 4c628	fopen	0	1	3	3 
4d35c 4d4a0	memcpy	359	180	202	20 
4d4a0 4d5a8	memset	8	9	16	7 
4e29c 4e480	__srefill_r	367	91	28	19 
4e480 4e4e8	__srget_r	276	91	20	11 
4e5dc 4e634	__sread	182	91	10	7 
532e8 533b8	__sprint_r	20	5	35	22 
59eb8 59f64	__sflags	0	1	6	6 
5eb8c 5ebac	_free_r	0	1	7	5 
5ebac 5ed10	fstat	2	1	16	13 
5ed10 5ed50	_fstat_r	0	1	5	4 
5f008 5f030	_malloc_r	0	1	8	6 
5f060 5f0a4	_write_r	0	9	11	9 
2443 
7 c[466c,46d0) c[6328,632c) c[46d4,4714) c[4c4b4,4c4b8) c[4718,473c) c[33f44,33f48) c[8ae50,8ae58) 
7 c[5190,51c0) c[32214,32218) c[51c4,51e4) c[51e8,5204) c[17e40,17e44) c[5208,52b0) c[3e164,3e168) 
4 s[2aa530,2aa538) c[52b0,52e4) c[4c4b4,4c4b8) c[8ae50,8ae58) 
41 c[6328,6360) c[4c604,4c608) c[6364,636c) c[4e480,4e484) c[6410,6458) c[6384,63cc) c[63d0,640c) c[209c0,209e0) c[282cc,282dc) c[282e4,28438) c[15660,15664) c[2843c,284d8) c[28564,2858c) c[28618,28698) c[6470,649c) c[4bafc,4bb04) c[4bb24,4bb28) c[4bb2c,4bb58) c[4bb5c,4bb74) c[4bd2c,4bd34) c[4bd38,4bd44) c[4ba3c,4ba54) c[4e6f4,4e708) c[42154,42158) c[4ba58,4ba6c) c[4baf0,4baf8) c[5eb8c,5eb90) c[4ba70,4ba78) c[4ba90,4ba9c) c[4baa8,4babc) c[4c400,4c408) c[21b80,21ba0) c[46d0,46d4) c[8ae50,8ae58) c[2612f8,261300) c[261c80,261c90) c[261438,261440) c[2611c0,2611c8) c[261ca8,261cb0) c[8a3e0,8abe0) c[8ac10,8ac18) 
5 c[154dc,15598) c[21384,213a0) c[15698,1569c) c[8ac10,8ac18) c[260fa0,260fa8) 
9 c[15660,15698) c[154dc,154e0) c[1569c,156a0) c[30f40,30f44) c[156a4,156a8) c[28438,2843c) c[21384,213a0) c[260fa8,260fb0) c[8ac10,8ac18) 
9 s[2a9810,2a9828) s[2a9798,2a9808) c[15b94,15bb8) c[21384,213a0) c[2e3b0,2e3b4) c[15bbc,15bcc) c[21b80,21ba0) c[4b22c,4b230) c[8ac10,8ac18) 
9 s[2a9380,2a93b8) c[21384,213a0) c[16a90,16b98) c[288a8,288ac) c[16b9c,16ba8) c[16bf4,16c30) c[21b80,21ba0) c[170ac,170b0) c[8ac10,8ac18) 
10 s[2a9440,2a9450) c[17038,170ac) c[21384,213a0) c[16a90,16a94) c[170b0,170b4) c[170b8,170c0) c[21b80,21ba0) c[2879c,287a0) c[8ac10,8ac18) c[260fb8,260fc0) 
3 c[17c9c,17cf8) c[2c000,2c004) c[54364,54368) 
13 c[17cf8,17d38) c[17d44,17e04) c[17e30,17e40) c[41a7c,41a80) c[41ab4,41ab8) c[417f8,417fc) c[4182c,41830) c[4188c,41890) c[49cb0,49cb4) c[88728,88738) c[88678,88688) c[88908,88910) c[892b8,892c0) 
6 c[17e40,17ec0) c[17ecc,17f58) c[17f84,17f90) c[17fbc,17fcc) c[5204,5208) c[610a8,610b2) 
7 s[2a94f0,2a9508) c[28770,2879c) c[17038,1703c) c[287a0,287ac) c[21b80,21ba0) c[2de64,2de68) c[8ac10,8ac18) 
22 s[2a9278,2a92b0) s[2a9680,2a9688) c[288a8,288dc) c[21380,213a0) c[21b80,21ba0) c[16b98,16b9c) c[209c0,209e0) c[282cc,282dc) c[282e4,28438) c[15660,15664) c[2843c,284d8) c[28564,2858c) c[28618,28698) c[8ac10,8ac18) c[260fc8,260fd0) c[875b0,875bd) c[87ef8,87f00) c[2612f8,261300) c[261c80,261c90) c[261438,261440) c[2611c0,2611c8) c[261ca8,261cb0) 
2 c[29088,290b4) c[2a0e0,2a0e4) 
11 c[29ffc,2a028) c[2a048,2a054) c[2a074,2a0a0) c[40d3c,40d40) c[2a0a4,2a0e0) c[29088,2908c) c[2a0e4,2a108) c[2a134,2a148) c[2a228,2a22c) c[876f8,87700) c[87718,87720) 
16 c[2a148,2a178) c[2a198,2a1a4) c[2a1c4,2a228) c[2c47c,2c480) c[2c558,2c578) c[2c5a8,2c5b4) c[2c5b8,2c5c8) c[2c4a8,2c508) c[2c54c,2c554) c[29ffc,2a000) c[2a22c,2a23c) c[21b80,21ba0) c[2c030,2c034) c[8ad18,8ad20) c[2610a8,2610d0) c[8ac10,8ac18) 
5 c[2a380,2a3a0) c[3f8a0,3f8a4) c[2a3a4,2a3a8) c[42134,42138) c[87730,87738) 
3 c[2a3a8,2a3cc) c[2a438,2a43c) c[2615d8,2615e0) 
2 c[2a3cc,2a3f8) c[2a44c,2a450) 
18 c[2a3f8,2a438) c[2a3a8,2a3ac) c[2a43c,2a44c) c[2a3cc,2a3d0) c[2a450,2a468) c[2a90c,2a910) c[2a46c,2a480) c[2a494,2a4ac) c[2a4cc,2a4ec) c[393ec,393f0) c[2a4f0,2a504) c[2a558,2a560) c[21b80,21ba0) c[5eba4,5eba8) c[26103c,261044) c[8b668,8b670) c[8a218,8a220) c[8ac10,8ac18) 
9 c[2a560,2a588) c[21384,213a0) c[22000,22020) c[2869c,286f0) c[286f4,2871c) c[362ec,362f0) c[2a58c,2a5d0) c[2a614,2a618) c[8ac10,8ac18) 
5 c[2a5d0,2a5e8) c[2a608,2a614) c[2a560,2a564) c[2a618,2a628) c[4823c,48240) 
4 c[2a8c4,2a8d8) c[35968,3596c) c[2a8dc,2a8e8) c[2a9c0,2a9c4) 
7 c[2a90c,2a92c) c[2a938,2a954) c[2a960,2a974) c[2ace8,2acec) c[2a468,2a46c) c[2612f8,261300) c[261c88,261c90) 
5 c[2a994,2a9a0) c[2a9ac,2a9c0) c[2a8c4,2a8c8) c[2a9c4,2a9d8) c[2ac98,2ac9c) 
3 c[2abe0,2ac04) c[2acb8,2acbc) c[2615d8,2615e0) 
2 c[2ac04,2ac30) c[2accc,2acd0) 
6 c[2ac30,2ac54) c[39374,39378) c[2ac58,2ac64) c[21b80,21ba0) c[2ad2c,2ad30) c[8ac10,8ac18) 
23 c[2ac64,2ac98) c[2a994,2a998) c[2ac9c,2aca4) c[2acb0,2acb8) c[2abe0,2abe4) c[2acbc,2accc) c[2ac04,2ac08) c[2acd0,2ace8) c[2a90c,2a910) c[2acec,2ad00) c[2ad0c,2ad2c) c[2ac30,2ac34) c[2ad30,2ad3c) c[2ada4,2adbc) c[2addc,2adf4) c[2ae14,2ae24) c[21b80,21ba0) c[5f020,5f024) c[261034,26103c) c[8a218,8a220) c[8b678,8b680) c[8b668,8b670) c[8ac10,8ac18) 
5 c[2bcc8,2bcdc) c[4c094,4c098) c[2bce0,2bd10) c[2bd70,2bd88) c[4cf08,4cf0c) 
