count: e5
data: 4000 c4440 stack: 102290 10c2a0 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
38508 38530	_Objects_Get_API	0	2	4	2 
38530 38554	_Objects_Get_index	0	2	4	2 
38554 38700	_POSIX_Keys_Run_destructors	2	2	12	8 
3974c 39814	rtems_io_write	0	6	15	13 
39880 398d4	_Thread_Enable_dispatch	0	2	5	5 
398d4 39a94	_Thread_Handler	0	2	24	16 
39ee8 39f08	atoi	0	2	5	5 
3a3a8 3a3e4	fileno	6	3	9	5 
3a7c8 3a808	fiprintf	14	3	53	37 
3b3f0 3b4f8	memset	6	6	11	5 
3b674 3b688	srand	1	1	4	3 
3b688 3b6c8	rand	16393	16392	19	17 
3c7f4 3ca04	_strtol_r	0	2	10	10 
3ca04 3ca30	strtol	0	2	3	3 
3f028 3f0f8	__sprint_r	12	3	35	21 
4c7d0 4c814	_write_r	0	5	11	9 
1844 
8 c[4418,444c) c[3a7c8,3a7cc) c[4450,4490) c[62cc,62d0) c[4494,44bc) c[44c0,44c8) c[23cd4,23cd8) c[c1ab8,c1ac0) 
7 c[520c,523c) c[22008,2200c) c[5240,5260) c[5264,5280) c[b1b8,b1bc) c[5284,52ac) c[2d78c,2d790) 
4 s[10c1a0,10c1a8) c[52ac,52e0) c[3a7c8,3a7cc) c[c1ab8,c1ac0) 
4 c[58bc,58d8) c[58e4,5900) c[590c,5920) c[5c78,5c7c) 
3 c[5920,593c) c[5980,59d0) c[5d44,5d48) 
16 c[59d0,5a50) c[5d78,5d7c) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[11b80,11ba0) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) c[c1850,c1858) 
5 c[5bd0,5be8) c[5c24,5c2c) c[5d00,5d04) c[5d18,5d1c) c[5d30,5d34) 
55 c[5c2c,5c78) c[58bc,58c0) c[5c7c,5c88) c[5ccc,5cdc) c[5ce8,5d00) c[5bd0,5bd4) c[5d04,5d18) c[5d1c,5d30) c[5d34,5d44) c[5920,5924) c[5d48,5d78) c[59d0,59d4) c[5d7c,5df0) c[5e00,5e60) c[5e7c,5eec) c[6a04,6a08) c[6adc,6b20) c[6b98,6ba8) c[6d28,6d30) c[7f5c,7f60) c[6d34,6e08) c[6e40,6e64) c[6e68,6f80) c[6e0c,6e3c) c[6cb8,6cc4) c[6a4c,6a78) c[7d8c,7d90) c[6a7c,6a80) c[6a9c,6aac) c[6ab0,6ab4) c[6934,6938) c[5ef0,5efc) c[5f00,61d4) c[6ac8,6ad0) c[6fac,7018) c[6ad4,6ad8) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[62c4,62cc) c[11b80,11ba0) c[6860,6864) c[bf0c8,bf0d0) c[bf0d8,bf0e0) c[bf174,bf184) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) c[c1850,c1858) 
65 c[62cc,62f0) c[634c,635c) c[6398,63b0) c[39ee8,39eec) c[63b4,63d0) c[63d4,63e4) c[3b674,3b678) c[63e8,63fc) c[1aa90,1aa94) c[6400,641c) c[6420,643c) c[6440,645c) c[6460,647c) c[6480,649c) c[64a0,64cc) c[3b688,3b68c) c[64d0,6538) c[653c,65f0) c[65f4,6698) c[6a04,6a08) c[6798,6860) c[66b4,66c8) c[6934,6938) c[66cc,677c) c[6adc,6b14) c[6d28,6d30) c[7f5c,7f60) c[6d34,6de0) c[6e3c,6eec) c[6e0c,6e20) c[6cb8,6cc4) c[7014,7018) c[6a9c,6aac) c[7d8c,7d90) c[6ab0,6ad0) c[6a4c,6a80) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[11b80,11ba0) c[7378,737c) c[6c84,6c8c) c[6b90,6c80) c[6ad4,6ad8) c[5c2c,5c30) c[6864,686c) c[1a224,1a228) c[6870,6878) c[687c,6884) c[6888,6890) c[6894,689c) c[68a0,68a8) c[68ac,68bc) c[4490,4494) c[bf16c,bf174) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) c[c1850,c1858) 
15 c[6934,696c) c[69a8,69bc) c[7014,7018) c[69c0,69d0) c[66c8,66cc) c[6974,697c) c[6ad8,6adc) c[6980,69a4) c[69d4,69e8) c[7d8c,7d90) c[69ec,6a04) c[11b80,11ba0) c[5eec,5ef0) c[5efc,5f00) c[c1850,c1858) 
9 c[6a04,6a3c) c[6a80,6a94) c[7d8c,7d90) c[6a98,6a9c) c[67ac,67b0) c[6a44,6a4c) c[6ad8,6adc) c[5ec4,5ec8) c[5eac,5eb0) 
28 c[6ad8,6b4c) c[7f5c,7f60) c[6d34,6e08) c[6e0c,6e3c) c[6cb8,6cc4) c[697c,6980) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[11b80,11ba0) c[7378,737c) c[6c84,6c8c) c[6e40,6e64) c[6e68,6f80) c[6cd8,6d28) c[6b78,6b98) c[6fac,6fc4) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) c[c1850,c1858) c[bf174,bf184) 
19 c[7014,7060) c[69bc,69c0) c[6ad0,6ad4) c[69d0,69d4) c[7180,7378) c[6ac0,6ac4) c[69a4,69a8) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) 
35 c[7378,7578) c[8198,819c) c[757c,759c) c[7f8c,7f90) c[75a0,75f0) c[7924,7944) c[7638,7670) c[7674,76c0) c[76f8,771c) c[7868,78b0) c[78b4,78d8) c[7c70,7c80) c[7c84,7cfc) c[7990,79a8) c[79ac,7a30) c[7a38,7b4c) c[6c80,6c84) c[7d50,7d6c) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[11b80,11ba0) c[bf320,bf350) c[bf1f0,bf208) c[bf2f8,bf318) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) c[c1850,c1858) 
6 c[7d8c,7f5c) c[6a94,6a98) c[69e8,69ec) c[69fc,6a00) c[6aac,6ab0) c[6a78,6a7c) 
2 c[7f5c,7f8c) c[6d30,6d34) 
5 c[7f8c,8020) c[8134,8138) c[813c,8148) c[8024,8040) c[759c,75a0) 
8 c[8198,81c4) c[82ac,82b4) c[8218,8228) c[822c,8260) c[7578,757c) c[78b0,78b4) c[7c80,7c84) c[79a8,79ac) 
3 c[8854,8910) c[8a10,8a14) c[c2f68,c2f70) 
7 c[89d8,8a10) c[8854,8858) c[8a14,8a18) c[20d6c,20d70) c[8a1c,8a20) c[18438,1843c) c[c2f70,c2f78) 
9 s[10b480,10b498) s[10b408,10b478) c[8f0c,8f30) c[11384,113a0) c[1e1dc,1e1e0) c[8f34,8f44) c[11b80,11ba0) c[397f4,397f8) c[c1850,c1858) 
9 s[10aff0,10b028) c[11384,113a0) c[9e08,9f10) c[188a8,188ac) c[9f14,9f20) c[9f6c,9fa8) c[11b80,11ba0) c[a424,a428) c[c1850,c1858) 
10 s[10b0b0,10b0c0) c[a3b0,a424) c[11384,113a0) c[9e08,9e0c) c[a428,a42c) c[a430,a438) c[11b80,11ba0) c[1879c,187a0) c[c1850,c1858) c[c2f80,c2f88) 
6 c[b1b8,b238) c[b244,b2d0) c[b2fc,b308) c[b334,b344) c[5280,5284) c[beec8,beed2) 
7 s[10b160,10b178) c[18770,1879c) c[a3b0,a3b4) c[187a0,187ac) c[11b80,11ba0) c[1dc90,1dc94) c[c1850,c1858) 
22 s[10aee8,10af20) s[10b2f0,10b2f8) c[188a8,188dc) c[11380,113a0) c[11b80,11ba0) c[9f10,9f14) c[109c0,109e0) c[182cc,182dc) c[182e4,18438) c[89d8,89dc) c[1843c,184d8) c[18564,1858c) c[18618,18698) c[c1850,c1858) c[c2f90,c2f98) c[bf770,bf77d) c[bff48,bff50) c[c32c8,c32d0) c[c3be0,c3bf0) c[c3398,c33a0) c[c3190,c3198) c[c3c08,c3c10) 
3 c[1a1d4,1a1f8) c[1a264,1a268) c[c3538,c3540) 
2 c[1a1f8,1a224) c[1a278,1a27c) 
23 c[1a224,1a264) c[1a1d4,1a1d8) c[1a268,1a278) c[1a1f8,1a1fc) c[1a27c,1a294) c[1a738,1a73c) c[1a298,1a2ac) c[1a2c0,1a2d8) c[1a2f8,1a318) c[28aa0,28aa4) c[1a31c,1a330) c[1a384,1a38c) c[11b80,11ba0) c[686c,6870) c[6878,687c) c[6884,6888) c[6890,6894) c[689c,68a0) c[68a8,68ac) c[c3004,c300c) c[c22c8,c22d0) c[c1668,c1670) c[c1850,c1858) 
4 c[1a6f0,1a704) c[255d4,255d8) c[1a708,1a714) c[1a7ec,1a7f0) 
7 c[1a738,1a758) c[1a764,1a780) c[1a78c,1a7a0) c[1ab14,1ab18) c[1a294,1a298) c[c32c8,c32d0) c[c3be8,c3bf0) 
5 c[1a7c0,1a7cc) c[1a7d8,1a7ec) c[1a6f0,1a6f4) c[1a7f0,1a804) c[1aac4,1aac8) 
3 c[1aa0c,1aa30) c[1aae4,1aae8) c[c3538,c3540) 
